Page,Question,Answer
1,What is the purpose of a car insurance policy booklet?,"A car insurance policy booklet provides information about the coverage, terms, and conditions of an insurance policy for a vehicle."
1,What information can be found in a car insurance policy booklet?,"A car insurance policy booklet typically includes details about the insured vehicle, the policyholder, the coverage limits, deductibles, exclusions, and any additional endorsements or riders."
1,Why is it important to keep a car insurance policy booklet in the vehicle?,"Keeping a car insurance policy booklet in the vehicle ensures that the policyholder has easy access to important information in case of an accident or other incident, and can provide it to law enforcement or other parties as needed."
2,What does the policy include?,"The policy includes this booklet, your car insurance details, your certificate(s) of motor insurance, and if applicable, Green Flag breakdown cover and DriveSure terms and conditions."
2,What is the meaning of words in bold type?,"Words in bold type have a specific meaning, such as your car or modifications. You can find the exact meanings of these words in the 'Glossary' on page 4, or at the start of each section."
2,What is Comprehensive with DriveSure?,"Comprehensive with DriveSure is a policy that includes the same cover as a Comprehensive policy, and wherever Comprehensive is mentioned in the policy booklet, it also applies to Comprehensive with DriveSure."
3,How much will you pay if my car is damaged?,"Where damage to your car is covered under your policy, we’ll pay the cost of repairing or replacing your car up to its UK market value. This is the current value of your car at the time of the claim."
3,Who is covered to drive other cars?,"Your certificate of motor insurance will show who has cover to drive other cars. We’ll only cover injury to third parties, or damage caused to their property, not to the car being driven."
3,Am I covered if I leave my car unlocked or the keys in the car?,"We won’t pay a claim for theft or attempted theft if your car is left: Unlocked. With keys or key fobs in, on, or attached to the car. With the engine running. With a window or roof open."
5,What is considered a loss of any limb?,"A limb severed at or above the wrist or ankle, or the total and irrecoverable loss of use of a hand, arm, foot or leg."
5,Who is the main driver?,"The person you declared was the main user of your car, and who’s shown as the main driver on your car insurance details."
5,What is the market value?,"The cost of replacing your car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss."
6,What is the first step to making a claim?,"To make a claim, you need to provide your personal details, policy number, car registration number, a description of the loss or damage, and the other driver's details if you've been in an accident."
6,What should you do if you receive any communication from a court or a threat of legal action?,"If you receive any communication from a court or a threat of legal action, you should contact your insurance company immediately."
6,When do you have to pay an excess?,You may have to pay an excess if you are at fault for the accident or if your car is stolen from a public place.
7,What are the steps involved in making a claim for repairs or replacements?,"1. Contact your insurance company and report the incident.
2. Get an estimate for the repairs or replacements.
3. Submit the estimate to your insurance company.
4. Your insurance company will review the estimate and approve the repairs or replacements.
5. You can then take your car to a repair shop to have the repairs or replacements done."
7,What are the benefits of using an approved repairer?,"1. You will not need an estimate.
2. You will benefit from our 5-year Guarantee.
3. This means parts, materials and workmanship provided by our approved repairer are guaranteed for five years, unless you sell your car or end your lease."
7,What happens if I use a repairer of my choice?,"1. You must give us full details of the incident.
2. We must approve the repairer’s detailed assessment of the repairs before the work begins.
3. We may then make the arrangements for the repairs ourselves.
4. Those repairs will NOT be guaranteed by us even though we may pay for them directly."
8,"What is the maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy?","The maximum amount of cover for property damage under the Third Party, Fire and Theft Essentials policy is £20,000,000 per accident (includes all costs and expenses)."
8,What is the excess for accidental damage claims related to the courtesy car under the Comprehensive policy?,The excess for accidental damage claims related to the courtesy car under the Comprehensive policy is £250.
8,Is a courtesy car included under the Comprehensive Plus policy?,"Yes, a courtesy car is included under the Comprehensive Plus policy if you haven't picked Guaranteed Hire Car Plus."
9,What is covered under accidental damage?,"Accidental damage to your car, child car seat replacement, in-car entertainment fitted in your car when it was made, in-car entertainment fitted in your car after it was made, removable electronic equipment, misfuelling, lost or damaged car keys."
9,What is covered under windscreen damage?,"If you use an approved windscreen supplier, if you choose a different supplier for repairs, if you choose a different supplier for replacement."
9,What personal benefits are covered?,"New car replacement, personal belongings, personal accident, medical expenses, hotel expenses, uninsured driver promise, vandalism promise."
10,"What is the overall limit for all claims, including appeals or counterclaims, to do with the same incident?","The overall limit for all claims, including appeals or counterclaims, to do with the same incident is £100,000."
10,What is the amount of time you can have the car for if you use a different repairer?,The amount of time you can have the car for if you use a different repairer is 21 days.
10,What is the maximum number of claims allowed?,The maximum number of claims allowed is 2 claims in 3 years.
11,What does the insurance cover if you cause an accident?,"The insurance will cover you if you are found legally responsible for an accident involving your car that injures or kills someone, and/or damages someone else’s property."
11,What is included in the coverage if someone needs emergency medical treatment?,The insurance will cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.
11,What is the coverage for other people?,"The insurance will also cover any of the following people for their liability to others: 
- Anyone insured by this policy to drive your car, if they have the policyholder’s permission.
- Anyone that the policyholder allows to use, but not drive, your car.
- Anyone getting into or out of your car.
- The legal representative of anyone covered if that person dies.
- The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use."
12,Under what circumstances is the main driver covered for liability to others when driving another car?,"The main driver may be covered for liability to others when driving another car if they are not covered by another insurance policy, they do not own the other car or it is not hired to them under a hire-purchase or leasing agreement, the car is not a hire, rental or courtesy car unless we have provided or arranged it, the owner of the car they are driving gives their permission, the car they are driving is registered and being driven within the territorial limits or in the Republic of Ireland, and you still have your car and it hasn't been written off."
12,What are some of the exclusions to coverage under the policy?,"The policy does not cover liability for loss, damage or injury that is covered by another insurance policy, the result of grinding, cutting, welding or soldering operations, or using blow lamps or torches on or in your car, or due to an act of terrorism as defined by the terrorism legislation applicable where the incident took place. The policy also does not cover legal costs or expenses for speeding offences, driving under the influence of alcohol or drugs, or parking offences."
12,What is not covered if you are driving another car?,"If you are driving another car, the policy does not cover any damage, fire or theft to the car you are driving, Motor Legal cover, or liability for loss of, or accidental damage to, any car you are driving or any trailer or vehicle you are towing."
13,Who is covered under the insurance policy?,The policyholder and anyone else insured by this policy to drive your automated car with your permission.
